referrer,views_total,views_unique
github.com,10780,5908
Google,4657,3461
agpt.co,3502,2069
chatgpt.com,850,524
Bing,478,283
aixploria.com,242,171
doubao.com,196,102
youtube.com,163,52
futurepedia.io,157,101
medium.com,126,67
