referrer,views_total,views_unique
github.com,10619,5730
Google,4726,3474
agpt.co,3522,2120
chatgpt.com,869,520
Bing,492,285
aixploria.com,236,167
doubao.com,193,103
futurepedia.io,155,99
medium.com,133,74
linkedin.com,123,65
